latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.3462214,108.22881,0.0,25200,Asia/Bangkok,GMT+7

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),weather_code (wmo code),cloud_cover (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (m/s),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),shortwave_radiation (W/m²)
2021-01-01T00:00,24.9,85,0.10,0.10,51,100,0.08,0.46,14.81,24,25.7,25.7,25.7,25.7,0.000,0.000,0.000,0.000,0.0
2021-01-01T01:00,24.8,86,0.20,0.20,51,98,0.07,0.43,14.90,25,25.7,25.7,25.7,25.7,0.000,0.000,0.000,0.000,0.0
2021-01-01T02:00,24.8,85,0.20,0.20,51,99,0.08,0.48,15.03,27,25.7,25.7,25.7,25.7,0.000,0.000,0.000,0.000,0.0
2021-01-01T03:00,24.8,86,0.10,0.10,51,100,0.07,0.45,14.63,26,25.6,25.6,25.6,25.6,0.000,0.000,0.000,0.000,0.0
2021-01-01T04:00,24.8,85,0.10,0.10,51,98,0.08,0.47,14.49,27,25.6,25.6,25.6,25.6,0.000,0.000,0.000,0.000,0.0
2021-01-01T05:00,25.0,84,0.00,0.00,3,97,0.08,0.52,14.49,27,25.6,25.6,25.6,25.6,0.000,0.000,0.000,0.000,0.0
2021-01-01T06:00,25.1,84,0.00,0.00,3,98,0.08,0.52,14.69,29,25.6,25.6,25.6,25.6,0.000,0.000,0.000,0.000,0.0
2021-01-01T07:00,25.2,83,0.00,0.00,3,98,0.11,0.55,13.26,34,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,42.0
2021-01-01T08:00,25.4,82,0.10,0.10,51,98,0.13,0.57,13.71,35,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,70.0
2021-01-01T09:00,25.5,84,0.00,0.00,3,98,0.21,0.53,12.95,33,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,325.0
2021-01-01T10:00,25.3,85,0.00,0.00,3,90,0.26,0.47,13.04,30,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,470.0
2021-01-01T11:00,25.3,85,0.00,0.00,3,98,0.27,0.48,13.89,30,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,510.0
2021-01-01T12:00,25.5,85,0.10,0.10,51,98,0.26,0.49,14.03,30,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,467.0
2021-01-01T13:00,25.4,86,0.10,0.10,51,100,0.24,0.46,14.10,29,25.6,25.6,25.6,25.6,0.000,0.000,0.000,0.000,437.0
2021-01-01T14:00,25.3,86,0.10,0.10,51,98,0.24,0.45,13.62,30,25.6,25.6,25.6,25.6,0.000,0.000,0.000,0.000,441.0
2021-01-01T15:00,25.4,86,0.10,0.10,51,96,0.19,0.46,14.64,29,25.6,25.6,25.6,25.6,0.000,0.000,0.000,0.000,293.0
2021-01-01T16:00,25.1,87,0.10,0.10,51,100,0.15,0.40,14.94,26,25.6,25.6,25.6,25.6,0.000,0.000,0.000,0.000,221.0
2021-01-01T17:00,24.9,88,0.30,0.30,51,100,0.10,0.39,14.17,19,25.6,25.6,25.6,25.6,0.000,0.000,0.000,0.000,72.0
2021-01-01T18:00,24.7,88,0.40,0.40,51,100,0.07,0.36,14.45,19,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,10.0
2021-01-01T19:00,24.9,87,5.40,5.40,63,100,0.06,0.40,13.70,29,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,0.0
2021-01-01T20:00,25.2,85,0.50,0.50,53,100,0.07,0.47,13.81,30,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,0.0
2021-01-01T21:00,25.3,85,0.30,0.30,51,100,0.08,0.47,14.26,36,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,0.0
2021-01-01T22:00,25.2,87,0.20,0.20,51,99,0.06,0.42,13.91,31,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,0.0
2021-01-01T23:00,25.2,87,0.10,0.10,51,88,0.07,0.42,14.14,33,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,0.0
2021-01-02T00:00,25.1,88,0.20,0.20,51,35,0.06,0.39,13.50,37,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,0.0
2021-01-02T01:00,25.0,89,0.60,0.60,53,94,0.05,0.34,11.86,40,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,0.0
2021-01-02T02:00,25.4,85,0.80,0.80,53,100,0.07,0.48,12.36,40,25.5,25.5,25.5,25.5,0.000,0.000,0.000,0.000,0.0
