    model  seed device reward_version  selected_episode  validation_gate  total_irrigation_mm  time_in_target_pct  violation_rate_pct  deficit_rate_pct  surplus_rate_pct  mean_soil_moisture  max_abs_mass_balance_error_mm                                                          checkpoint                                                checkpoint_sha256
SAC Basic    11   cuda      reward_v2                20             True           557.514902           58.492714           41.507286          0.182149         41.325137            0.306200                   2.842171e-14  Checkpoints\SAC_Basic\sac_basic_seed11_reward_v2_training_ep100.pt 31ca1c66426a39a8bf6129184ebb08e91c8b2484ce5ec7c1b76181955ef13e89
SAC Basic    22   cuda      reward_v2                10            False           623.185919           51.047359           48.952641          0.000000         48.952641            0.320768                   2.842171e-14  Checkpoints\SAC_Basic\sac_basic_seed22_reward_v2_training_ep100.pt 5c5971107e2df3c3df8069b54df9f690dfe4e6bc83859c1c37273d887ef4052a
SAC Basic    33   cuda      reward_v2                50             True           672.076024           56.978597           43.021403          0.352914         42.668488            0.308110                   2.842171e-14  Checkpoints\SAC_Basic\sac_basic_seed33_reward_v2_training_ep100.pt 99d368366df66370fd4cbcf26829aee388d318916800315ebc12bf36b9f6935d
SAC Basic    44   cuda      reward_v2                20             True           615.784941           59.061931           40.938069          0.000000         40.938069            0.308594                   2.842171e-14  Checkpoints\SAC_Basic\sac_basic_seed44_reward_v2_training_ep100.pt ee3945ac68c87b84815b8eb4de6ac10669152ac02ed27c57492c2d3125ca2708
SAC Basic    55   cuda      reward_v2                40             True           711.926168           55.020492           44.979508          1.730419         43.249089            0.306594                   2.842171e-14  Checkpoints\SAC_Basic\sac_basic_seed55_reward_v2_training_ep100.pt f09342b63f2e0aa74aacab72ddf4fa7cec65feeac7e15a4970d24162594c6799
SAC Basic    66   cuda      reward_v2                20             True           592.735445           56.671220           43.328780          0.000000         43.328780            0.314959                   2.842171e-14  Checkpoints\SAC_Basic\sac_basic_seed66_reward_v2_training_ep100.pt 94f6c11f35dd31d1659d4f7b0854275b5c9ee063a90b021ac2a2dbfd0e6b4c0a
SAC Basic    77   cuda      reward_v2                60             True           576.265455           60.132058           39.867942          0.796903         39.071038            0.298111                   2.842171e-14  Checkpoints\SAC_Basic\sac_basic_seed77_reward_v2_training_ep100.pt 2b972b26764a3f275b126821cd1b0609ac3b59c36e03f968d0ced952c4d07842
SAC Basic    88   cuda      reward_v2                40             True           699.474116           59.904372           40.095628          0.000000         40.095628            0.301362                   2.842171e-14  Checkpoints\SAC_Basic\sac_basic_seed88_reward_v2_training_ep100.pt f7fab69a661e3a7c83cb1e95dfc49195b3c8fda3e7bf20bb25d79acffcd803d6
SAC Basic    99   cuda      reward_v2                80             True           639.224759           61.031421           38.968579          0.000000         38.968579            0.298425                   2.842171e-14  Checkpoints\SAC_Basic\sac_basic_seed99_reward_v2_training_ep100.pt 6599de070eb0d188edf11a6c2eee926dd77710bd375cd216c104e1d5270aba6f
SAC Basic   110   cuda      reward_v2               100             True           548.624020           60.553279           39.446721          0.000000         39.446721            0.301275                   2.842171e-14 Checkpoints\SAC_Basic\sac_basic_seed110_reward_v2_training_ep100.pt 3dd2d52545ae332e22a8873449c371565eb7057d79469036ae4b95ebbbf0d7ff
