     model  seed device  selected_episode  validation_gate  history_active  forecast_active  history_residual_norm  forecast_residual_norm  zero_history_action_delta_mm  reverse_history_action_delta_mm  zero_forecast_action_delta_mm  zero_context_action_delta_mm  total_irrigation_mm  time_in_target_pct  deficit_rate_pct  surplus_rate_pct  mean_soil_moisture  max_abs_mass_balance_error_mm                                                                         checkpoint                                                checkpoint_sha256
SACSI Full    11   cuda                 2             True            True             True               0.082747                0.046837                      0.001243                         0.001360                       0.001027                      0.002049           551.084768           58.606557          0.330146         41.063297            0.305024                   2.842171e-14  Checkpoints\SACSI_Full\sacsi_full_seed11_reward_v2_sf20_rrws_k24_training_ep10.pt 513a0c9242254d17be1703b6c7ec1c1f5012cd2f95da1f5fee42aea3b0f8c974
SACSI Full    22   cuda                10             True            True             True               0.291523                0.123382                      0.018235                         0.008233                       0.002374                      0.020979           581.938936           56.363843          0.000000         43.636157            0.315525                   2.842171e-14  Checkpoints\SACSI_Full\sacsi_full_seed22_reward_v2_sf20_rrws_k24_training_ep10.pt 8013e25d9c6d40e6e887a8b3ac7aebe77d8a112b0b11e2be950d66bc314c8f24
SACSI Full    33   cuda                 0             True           False            False               0.000000                0.000000                      0.000000                         0.000000                       0.000000                      0.000000           672.076024           56.978597          0.352914         42.668488            0.308110                   2.842171e-14  Checkpoints\SACSI_Full\sacsi_full_seed33_reward_v2_sf20_rrws_k24_training_ep10.pt 16abcd8abc5acee1d7335e2fc067636ac5d6a9836bc1d100f5fcf1e34294ee4d
SACSI Full    44   cuda                 8             True            True             True               0.512535                0.131213                      0.016617                         0.015843                       0.001676                      0.016814           571.420924           59.767760          0.034153         40.198087            0.304807                   2.842171e-14  Checkpoints\SACSI_Full\sacsi_full_seed44_reward_v2_sf20_rrws_k24_training_ep10.pt bb65c94ef4bd6bb09342aea278abca1fbca1c54ea20f9efc9b21b6873f41f437
SACSI Full    55   cuda                 2             True            True             True               0.150243                0.075643                      0.004461                         0.004184                       0.001977                      0.005970           643.725240           56.238616          1.161202         42.600182            0.306217                   2.842171e-14  Checkpoints\SACSI_Full\sacsi_full_seed55_reward_v2_sf20_rrws_k24_training_ep10.pt c1791a5a4ff96e89feeb2631bb76b2118be45dc3d4cfa3215354f9351bb981cb
SACSI Full    66   cuda                 4             True            True             True               0.305909                0.255860                      0.011805                         0.011542                       0.002735                      0.014600           559.417662           58.401639          0.000000         41.598361            0.308823                   2.842171e-14  Checkpoints\SACSI_Full\sacsi_full_seed66_reward_v2_sf20_rrws_k24_training_ep10.pt 8418d5da68669e5e30c1db8778bf51b698467d2e9d514ad8c8049cbc144c9320
SACSI Full    77   cuda                 8             True            True             True               0.351530                0.124072                      0.001542                         0.002182                       0.000944                      0.001920           580.354259           60.188980          0.717213         39.093807            0.298586                   2.842171e-14  Checkpoints\SACSI_Full\sacsi_full_seed77_reward_v2_sf20_rrws_k24_training_ep10.pt 5081b63f2e5b01e497c2343d3c92a540236a56cd2c047cacd7cec0eb19962572
SACSI Full    88   cuda                 2             True            True             True               0.123295                0.089738                      0.002859                         0.002614                       0.003432                      0.005475           653.147460           60.496357          0.000000         39.503643            0.301305                   2.842171e-14  Checkpoints\SACSI_Full\sacsi_full_seed88_reward_v2_sf20_rrws_k24_training_ep10.pt abab89fa67ad5ec80f198cce689b1bb1c53c86021657806eea657fe1c3084b2d
SACSI Full    99   cuda                 6             True            True             True               0.400735                0.224856                      0.007782                         0.002703                       0.001908                      0.008418           537.374552           61.395719          0.000000         38.604281            0.295893                   2.842171e-14  Checkpoints\SACSI_Full\sacsi_full_seed99_reward_v2_sf20_rrws_k24_training_ep10.pt c4ae97546a0565f13830a4776bde0098826549dd710162931f67bd3b7dcc26fb
SACSI Full   110   cuda                 4             True            True             True               0.166811                0.131556                      0.001325                         0.001040                       0.001186                      0.001458           551.593961           60.826503          0.000000         39.173497            0.300185                   2.842171e-14 Checkpoints\SACSI_Full\sacsi_full_seed110_reward_v2_sf20_rrws_k24_training_ep10.pt 92dcb32672784107ebf83ad9bc34b6f7e619845d97b7a2238d18513806443a17
