episode,reward,steps,updates,actor_loss,critic_loss,alpha_loss,alpha
1,-3518.984195993849,336,0,,,,
2,-2039.048559599931,672,173,245.92047119140625,70.38835144042969,3.68159556388855,0.026479236781597137
3,262.09522953945594,1008,509,152.457763671875,150.62838745117188,1.8248013257980347,0.02721977047622204
4,-576.9503996539542,1344,845,109.26069641113281,126.88896942138672,1.5779850482940674,0.027882900089025497
5,335.1340342018007,1680,1181,120.46281433105469,150.00045776367188,1.5331170558929443,0.028603166341781616
6,-495.2182545316485,2016,1517,131.14791870117188,2815.22021484375,1.5401588678359985,0.02936244010925293
7,-755.6039935275653,2352,1853,116.97389221191406,113.25381469726562,0.4973927140235901,0.030055345967411995
8,334.69356345176664,2688,2189,151.92373657226562,184.1956329345703,1.0546245574951172,0.030588530004024506
9,-574.8734374433957,3024,2525,105.60121154785156,180.74996948242188,1.2350490093231201,0.03094250150024891
10,302.8239871831745,3360,2861,93.7454833984375,107.4029769897461,0.19767743349075317,0.031335875391960144
