episode,selection_score,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,mean_soil_moisture,runoff_total_mm,drainage_total_mm,action_smoothness,decision_latency_ms,water_use_efficiency,max_abs_mass_balance_error_mm,cumulative_reward
0,58.492714025500916,557.5149007439613,58.492714025500916,41.50728597449909,0.18214936247723132,41.32513661202186,0.026878979767360436,0.3061997865483843,74.61032780948203,1381.2248987637938,0.025675080390016133,0.0,9.215897177176304,2.842170943040401e-14,-7961.037296105617
10,58.1056466302368,544.0722501575947,58.1056466302368,41.8943533697632,1.4913479052823315,40.40300546448087,0.026742208127045468,0.3018472475239942,74.54501086239826,1370.3423196345652,0.025104169512099074,0.0,9.38110701018401,2.842170943040401e-14,-7911.642947186336
20,50.95628415300546,531.2518514990807,50.95628415300546,49.04371584699454,9.01639344262295,40.02732240437158,0.026796863963532806,0.2950764763540689,74.54001182117612,1367.812568772181,0.02150508655538649,0.0,8.425382400775964,2.842170943040401e-14,-9310.24175316365
30,34.78825136612022,499.5033130943775,37.59107468123862,62.40892531876139,22.8028233151184,39.60610200364299,0.02714247088567517,0.29065565545754646,74.6619876627981,1370.077561058781,0.019292569155032333,0.0,6.610566763900746,2.842170943040401e-14,-12887.558707459819
40,19.669854280510023,392.83715480566025,30.066029143898,69.93397085610201,30.396174863387976,39.537795992714024,0.029607745793367096,0.28477173836491504,74.9845988724603,1374.4410224433082,0.015122706962313126,0.0,6.722887506164034,2.842170943040401e-14,-21718.29338802251
50,38.431238615664846,482.8764516413212,39.287340619307834,60.712659380692166,20.856102003642988,39.85655737704918,0.0278329705364563,0.2914803608358154,75.1409138558681,1381.4054628555987,0.020765878165974836,0.0,7.146755631321176,2.842170943040401e-14,-14865.85525164483
60,26.500455373406194,386.24497878551483,33.321948998178506,66.67805100182149,26.821493624772312,39.85655737704918,0.030638883930769387,0.2853054182140707,75.13575501266972,1382.7384590325737,0.017955300192565294,0.0,7.578092042007848,2.842170943040401e-14,-22458.98436895487
70,27.058287795992715,339.02851647138596,33.845628415300546,66.15437158469946,26.78734061930783,39.36703096539162,0.03147963161660338,0.28282089589702564,74.76521668442349,1364.4506779892533,0.015436615024220491,0.0,8.769173846917155,2.842170943040401e-14,-24086.13675784046
80,13.897996357012751,240.6956777870655,27.28825136612022,72.71174863387978,33.39025500910747,39.321493624772316,0.03550033997892768,0.2768845555373174,75.05941364559239,1372.6067771886676,0.008258823723154026,0.0,9.958633333335285,2.842170943040401e-14,-32964.11950137525
90,12.736794171220406,211.1938370168209,26.479963570127506,73.52003642987249,33.7431693989071,39.77686703096539,0.037952918687009556,0.27551275735887093,75.20527852147193,1388.9938450822315,0.0072094755028587094,0.0,11.013578960709642,2.842170943040401e-14,-36582.419338944586
100,12.691256830601091,195.79096302390099,26.627959927140253,73.37204007285975,33.93670309653916,39.435336976320585,0.03760826534425492,0.27447821101855713,75.10549286917127,1373.2396848029118,0.005427239241964328,0.0,11.946414501850471,2.842170943040401e-14,-36411.881784614496
